Area,Area Name,Adjacent areas,,,,,,,,,,
1,ANG MO KIO,3,9,55,38,40,41,,,,,
2,BEDOK,15,24,32,47,16,,,,,,
3,BISHAN,50,9,1,41,,,,,,,
4,BOON LAY,17,18,33,,,,,,,,
5,BUKIT BATOK,8,7,12,13,17,49,,,,,
6,BUKIT MERAH,35,48,44,14,,,,,,,
7,BUKIT PANJANG,8,9,46,5,12,,,,,,
8,BUKIT TIMAH,28,35,48,9,5,7,13,,,,
9,CENTRAL WATER CATCHMENT,3,8,28,21,46,55,1,7,,,
10,CHANGI,11,31,47,,,,,,,,
11,CHANGI BAY,10,,,,,,,,,,
12,CHOA CHU KANG,46,5,7,49,53,,,,,,
13,CLEMENTI,8,35,5,17,,,,,,,
14,DOWNTOWN CORE,6,19,37,25,43,30,22,23,45,,
15,GEYLANG,19,24,50,2,16,,,,,,
16,HOUGANG,15,50,2,32,40,41,,,,,
17,JURONG EAST,5,4,13,18,49,52,,,,,
18,JURONG WEST,4,17,33,49,53,,,,,,
19,KALLANG,15,24,28,50,14,26,37,,,,
20,LIM CHU KANG,46,53,,,,,,,,,
21,MANDAI,9,39,46,54,55,,,,,,
22,MARINA EAST,19,24,14,23,,,,,,,
23,MARINA SOUTH,14,22,45,,,,,,,,
24,MARINE PARADE,15,19,2,22,,,,,,,
25,MUSEUM,14,26,29,36,37,43,,,,,
26,NEWTON,19,28,48,29,37,25,,,,,
27,NORTH-EASTERN ISLANDS,,,,,,,,,,,
28,NOVENA,3,8,19,48,50,9,26,,,,
29,ORCHARD,48,26,36,25,,,,,,,
30,OUTRAM,6,14,43,,,,,,,,
31,PASIR RIS,10,32,47,34,40,,,,,,
32,PAYA LEBAR,2,31,47,16,40,,,,,,
33,PIONEER,4,18,51,53,,,,,,,
34,PUNGGOL,31,38,40,,,,,,,,
35,QUEENSTOWN,6,8,48,13,,,,,,,
36,RIVER VALLEY,48,29,25,43,,,,,,,
37,ROCHOR,19,14,26,25,,,,,,,
38,SELETAR,55,34,40,,,,,,,,
39,SEMBAWANG,21,42,54,55,,,,,,,
40,SENGKANG,32,31,55,1,16,34,38,41,,,
41,SERANGOON,3,50,1,16,40,,,,,,
42,SIMPANG,39,55,,,,,,,,,
43,SINGAPORE RIVER,6,48,14,36,25,30,,,,,
44,SOUTHERN ISLANDS,6,,,,,,,,,,
45,STRAITS VIEW,6,14,23,,,,,,,,
46,SUNGEI KADUT,9,20,21,54,7,12,53,,,,
47,TAMPINES,2,10,32,31,,,,,,,
48,TANGLIN,6,8,28,35,26,29,36,43,,,
49,TENGAH,5,12,17,18,53,,,,,,
50,TOA PAYOH,3,15,19,28,16,41,,,,,
51,TUAS,33,53,,,,,,,,,
52,WESTERN ISLANDS,17,,,,,,,,,,
53,WESTERN WATER CATCHMENT,20,46,12,18,33,49,51,,,,
54,WOODLANDS,21,39,46,,,,,,,,
55,YISHUN,9,21,39,42,1,38,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
